origin_city,dest_city
Boston MA,Austin TX
Cincinnati OH,Salt Lake City UT
Minneapolis MN,Hartford CT
Portland ME,Atlanta GA
Phoenix AZ,Miami FL
Reno NV,Denver CO
Atlanta GA,St. Louis MO
Chicago IL,Sarasota/Bradenton FL
Chicago IL,Anchorage AK
Greensboro/High Point NC,Boston MA
Houston TX,Newark NJ
Oklahoma City OK,Cincinnati OH
El Centro CA,Los Angeles CA
St. Louis MO,Houston TX
Atlanta GA,Milwaukee WI
Phoenix AZ,Milwaukee WI
Cincinnati OH,Allentown/Bethlehem/Easton PA
Portland OR,Baltimore MD
Las Vegas NV,Raleigh/Durham NC
Des Moines IA,Las Vegas NV
Los Angeles CA,Anchorage AK
New York NY,Washington DC
Norfolk VA,Charlotte NC
Casper WY,Denver CO
Las Vegas NV,Indianapolis IN
Madison WI,Atlanta GA
Omaha NE,Salt Lake City UT
Chicago IL,Muskegon MI
Anchorage AK,Kahului HI
Atlanta GA,Panama City FL
Detroit MI,Atlanta GA
Atlanta GA,Raleigh/Durham NC
Dallas/Fort Worth TX,Brownsville TX
Myrtle Beach SC,New York NY
Spokane WA,Los Angeles CA
Richmond VA,Newark NJ
Rochester NY,Chicago IL
Phoenix AZ,Louisville KY
Denver CO,Lincoln NE
Las Vegas NV,St. Louis MO
Atlanta GA,Greensboro/High Point NC
Phoenix AZ,St. Louis MO
New Orleans LA,Pittsburgh PA
Las Vegas NV,Miami FL
Seattle WA,Cincinnati OH
San Diego CA,New Orleans LA
Atlanta GA,Charlottesville VA
Denver CO,Palm Springs CA
Los Angeles CA,Newark NJ
Lihue HI,Oakland CA
Atlanta GA,Fort Smith AR
Santa Ana CA,Seattle WA
Buffalo NY,New York NY
Washington DC,Newark NJ
Cincinnati OH,Toledo OH
Charlotte NC,Richmond VA
Santa Ana CA,Salt Lake City UT
Aspen CO,Los Angeles CA
Chicago IL,Greer SC
Chicago IL,Springfield MO
Tulsa OK,Miami FL
Fargo ND,Minneapolis MN
Philadelphia PA,Hartford CT
Atlanta GA,Louisville KY
Birmingham AL,New York NY
Minneapolis MN,Wichita KS
New Orleans LA,Milwaukee WI
San Diego CA,Boston MA
Traverse City MI,Cincinnati OH
Houston TX,Mobile AL
Dallas/Fort Worth TX,Amarillo TX
Fort Myers FL,Cincinnati OH
Albuquerque NM,Minneapolis MN
Phoenix AZ,Raleigh/Durham NC
Denver CO,Dallas TX
Atlanta GA,New York NY
Denver CO,Hartford CT
Colorado Springs CO,Houston TX
Atlanta GA,Miami FL
Scranton/Wilkes-Barre PA,Cincinnati OH
Dickinson ND,Minneapolis MN
Newark NJ,Raleigh/Durham NC
Chicago IL,Peoria IL
Denver CO,Kansas City MO
Kona HI,Phoenix AZ
Dallas/Fort Worth TX,Lubbock TX
Baltimore MD,Flint MI
Atlanta GA,Moline IL
San Antonio TX,Orlando FL
Newark NJ,Columbia SC
Newark NJ,Greensboro/High Point NC
Charlotte NC,Providence RI
Dallas/Fort Worth TX,Austin TX
Albuquerque NM,Portland OR
Midland/Odessa TX,Dallas/Fort Worth TX
Tampa FL,Kansas City MO
San Juan PR,Newark NJ
Boston MA,Cincinnati OH
Milwaukee WI,Memphis TN
Salt Lake City UT,Detroit MI
New York NY,Portland ME
San Jose CA,Ontario CA
Nashville TN,New Orleans LA
Cedar Rapids/Iowa City IA,Chicago IL
Rochester NY,Washington DC
Las Vegas NV,Santa Ana CA
Newark NJ,Milwaukee WI
Kansas City MO,San Francisco CA
Baltimore MD,Kansas City MO
Phoenix AZ,Washington DC
Joplin MO,Dallas/Fort Worth TX
Killeen TX,Dallas/Fort Worth TX
Chicago IL,Houston TX
Tampa FL,Cleveland OH
Dallas/Fort Worth TX,Durango CO
Monterey CA,Phoenix AZ
Denver CO,Helena MT
New York NY,St. Louis MO
Atlanta GA,Columbus OH
San Diego CA,Philadelphia PA
Islip NY,Cleveland OH
Houston TX,Albuquerque NM
Tampa FL,West Palm Beach/Palm Beach FL
Juneau AK,Gustavus AK
Minneapolis MN,Portland OR
Denver CO,Memphis TN
New York NY,Louisville KY
New York NY,Greensboro/High Point NC
Newark NJ,Syracuse NY
Anchorage AK,Newark NJ
Baltimore MD,Hartford CT
Charleston/Dunbar WV,Atlanta GA
Moline IL,Denver CO
Raleigh/Durham NC,Las Vegas NV
Bangor ME,Boston MA
Atlanta GA,Naples FL
Trenton NJ,Tampa FL
Baltimore MD,Little Rock AR
North Bend/Coos Bay OR,San Francisco CA
Syracuse NY,Detroit MI
Kansas City MO,Boston MA
Birmingham AL,Orlando FL
Pasco/Kennewick/Richland WA,San Francisco CA
Portland OR,Denver CO
El Paso TX,San Antonio TX
Kansas City MO,Memphis TN
Phoenix AZ,Birmingham AL
Newark NJ,Louisville KY
Santa Barbara CA,Portland OR
Houston TX,Norfolk VA
San Francisco CA,Boise ID
Houston TX,Peoria IL
Indianapolis IN,Jacksonville FL
Dallas/Fort Worth TX,Corpus Christi TX
Bozeman MT,Los Angeles CA
Atlanta GA,Melbourne FL
San Francisco CA,Fresno CA
San Jose CA,Reno NV
